"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Sebastes maliger","(Jordan & Gilbert, 1880)","","quillback rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","maliger",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-08","C. E. Kasserra","CMN","CMNFI 1985-0086.2",NA,"2008-05-22","Jackson W.F. Chu","iNat:116447563","",63386,"FIS"
"Sebastes melanops","Girard, 1856","","black rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","melanops",NA,"",NA,"native","SNR",NA,"reported","unobserved","1993-08-16","Andy Lamb","PMLS","",NA,"","","","",47760,"FIS"
"Sebastes nigrocinctus","Ayres, 1859","","tiger rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","nigrocinctus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",230757,"FIS"
"Sebastes proriger","(Jordan & Gilbert, 1880)","","redstripe rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","proriger",NA,"",NA,"native","SNR",NA,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu (2010)","",NA,"2008-05-22","Jackson W.F. Chu","iNat:116447573","",64457,"FIS"
"Sebastes ruberrimus","(Cramer, 1895)","","yellow-eye rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","ruberrimus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-08","C. E. Kasserra","CMN","CMNFI 1985-0086.3",NA,"2008-05-24","Jackson W.F. Chu","iNat:116493788","",63695,"FIS"
"Squalus suckleyi","(Girard, 1855)","","Pacific spiny dogfish shark","Animalia","Chordata","Vertebrata","","Elasmobranchii","Neoselachii","Squalomorphi","Squaliformes","","","Squalidae","","","Squalus","suckleyi",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-08","C. E. Kasserra","CMN","CMNFI 1985-0086.5",NA,"2017-08-14","Tyson Ehlers","iNat:8898612","reported as Squalus acanthias in CMN catalogue",201523,"FIS"
"Synchirus gilli","Bean, 1890","","manacled sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Synchirus","gilli",NA,"",NA,"native","SNR",NA,"reported","unobserved","1996-09-28","Andy Lamb","PMLS","",NA,"","","","",232130,"FIS"
"Syngnathus leptorhynchus","Girard, 1854","","kelp pipefish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Syngnathiformes","","","Syngnathidae","Syngnathinae","","Syngnathus","californiensis",NA,"",NA,"native","SNR",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2016-07-03","Paz Touchburn","iNat:3612908","reported Syngnathus leptorhynchus",117570,"FIS"
"Trachipterus altivelis","Kner, 1859","","king-of-the-salmon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Lampriformes","","","Trachipteridae","","","Trachipterus","altivelis",NA,"",NA,"accidental","SNR",NA,"reported","unobserved","1965-08-21","A. W. Argue","CMN","CMNFI 1968-1875.1",NA,"","","","",232769,"FIS"
"Triglops macellus","(Bean, 1884)","","roughspine sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Triglops","macellus",NA,"",NA,"native","SNR",NA,"reported","unobserved","2013-10-20","Andy Lamb","PMLS","",NA,"","","","",232944,"FIS"
"Xiphister atropurpureus","(Kittlitz, 1858)","","rock prickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Xiphisterinae","","Xiphister","atropurpureus",NA,"",NA,"native","SNR",NA,"new 2021","observed","","","","",NA,"2021-05-26","ridingbio","iNat:83262535","",67360,"FIS"
"Xiphister mucosus","(Girard, 1858)","","rock eel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Xiphisterinae","","Xiphister","mucosus",NA,"",NA,"native","SNR",NA,"new 2020","observed","","","","",NA,"2020-08-15","Andrew Simon","iNat:57099177","",67628,"FIS"
